Text,Sentiment
user ZNGA I use lagging indicators on lagging stocks ;),negative
"GOOG, I like it with a close above 744.96",positive
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,positive
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,positive
Financials continue ripping. Easy money. C approaching 43 PT  ,positive
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,positive
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",negative
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,positive
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",positive
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",positive
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,positive
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,positive
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,positive
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,positive
aapl daily (see notes)  ,positive
AMZN daily (see notes)  ,positive
C daily (see notes)   ,positive
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",positive
AA Fibs   Friends   ,positive
TSA: Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -  ,positive
BAC up trending doesn't appear to slow down as of yet. It's prudent to take some profit at time.  ,positive
"FE - looks like it fired a sell signal Friday, may trade this short on tick below Friday low - have to do more work on utilities later...",negative
coh also got rejected by cloud but still in slight uptrend for past few. buy when it enters cloud  ,positive
yum looks good here out of cloud with stops of either 200 sma or cloud under it. target of 50 sma  ,positive
EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some ideas for next week.  Favorite setup is EQIX  ,positive
"EQIX No position, would like to see a breakout over 216.50. Prefer more consolidation though  ",positive
Time for a contraction in AAP.down to test 500 this week by Weds.long Jan11th 510/500 put spread  ,negative
AAP Bounce Coming?   ,positive
FS en fuego!!   ,positive
AXA Over-Sold in Oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,positive
A few I'm not holding but will check out. user: Bullish MACD cross: BBG COP ENI EOG JEC IG SFY XE XOP,positive
"JDS beautiful trend, 13.5 should bring out the dip buyers",positive
ko has trouble staying above 200 day sma past few weeks. could short here or higher stops above 38  ,negative
mako a red day monday breaks support and could test old lows of 9-9.25  ,negative
After-hour Most Advanced: OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,positive
GOOG with simple Fibonacci projections on close over 739. 127.2% at 766 and 161.8% at 802  ,positive
Why I am buying AAP on Monday -  ,positive
user: AMZN over 263 has a Measured Move to 307  ,positive
user The INO pipeline and the partnerships with the ni's and MK--that pretty much sums it up...,positive
"AMZN the data company, not the retailer.  A new post by me.   ",positive
Trading environment favors long side. Don't over stay welcome. Too few quality leaders. GS AMH OCN EGN HOV AAP  ,negative
AAP what an amazing run it has been since 2005. I don't think it's over.   ,positive
A Tale of Two Stocks  AAP GOOG SPY QQQ,positive
F Ford's Powerful Bullish Pattern Dictates Price Direction  ,positive
DT - Descending triangle. ower highs. Didn't participate well in the rally & it's overbought.   ,negative
CVA Over 19.00  ,positive
MCK  Over 100.05 -   ,positive
VMED you know we prefer 3-4 day pullback to reverse so maybe Mon or Tuesday on flag break or at sup  ,positive
"Just kidding, more legible version. Currently long FS (tweeted on friday)  ",positive
Ford will perform well due to Hurricane Sandy's destruction. F Palladium will do well PA Banks are a buy picks are BAC C SAN GS,positive
GS is a buy on pullback to 133 or on bigger pullback to 130.,positive
CEG keep it on you watch list.,positive
I wish TV would die already like all the Newspapers told me  CBS ftw!,positive
I think AAP is heading back down to check in on 506 support again,negative
AMZN but but but.....yap yap yap,positive
SNDK pattern looking more interesting. Can it successfully break into the gap this time around?  ,positive
"#AMZN at all-time highs pre-market , aapl still plunging.  should be an interesting trading day!",positive
See risk to ES_F 1442.00-1423.75 as bearish momentum divergences resolve SPX SPY #stocks.   ,negative
user: ONXX strong price & vol expansion friday. possibly looking for higher prices  > another biotech with 2 levels,positive
ZNGA Momentum building to the upside.? On watch.,positive
ES from watch list also fast move today  volume of 77% ave full day as usually tiny volume  ,positive
TWI like this long 24% short...  ,positive
"Green Weekly Triangle on HEO,....pdating  ",negative
EOG - 60 min pullback to breakout - watching 1/2 position    ,positive
KCG to 3.75?,positive
ZCS almost hit my stop loss...glad to see it heading back up,positive
AAP closed my short for some nice gains.,negative
"V beautiful uptrend since June '12. Never once broke higher high, higher low trend  ",positive
The most awesome AAP trendline ever. Since 1986!!   ,negative
"DDD - ong  27.95. Trailing Stop  42.35 from 7 prior Stops of 41.70, 39.03, 36.53, 32.35, 27.95, 25.44 and 22.93 -  ",positive
NX was largest watch list gainer new buy on Friday and biggest mover today so protect gains  ,positive
"Green Weekly Triangle on KTOS,....pdating  ",negative
ak corrected me - PPHM  largest watch list gainer today - though it gapped up big on open   ,positive
AAP positive close above 530 today is bullish. I'll be looking for possible ONG set up.,positive
CEG possible ONG today if you want to play the JPMOGAN BIOtech conference.,positive
"FME: ong  10.25. Trailing Stop  13.75 from 8 prior Stops of 12.29, 11.50, 10.97, 10.63, 10.36, ... 9.64 & 9.03 -  ",positive
I showed this MA on Friday with the upside orange dot traget at 517+ hit that this morn now red dot  ,negative
TO triggered above 34. First target 34.55-.90,positive
SXC - breaking above key downward channel level. ikely to move much higher from here.  ,positive
"must follow the young man user: AMZN the data company, not the retailer.  A new post by me.   ",positive
PG short back on,negative
OVTI downgrade on Sept 7th 16.77 after Q1 looking good. next filing Q3 end of feb.  ,negative
VS option trader sells 26k of the 47.25 - 52.25 call spreads in March. Big bet that stock will be below 47.25 by March expiry,negative
"AA option traders bet on bad earnings selling 6,200 Jan 9C and buying 3,200 Jan 9P. Could be hedge on stock. Both trades against low OI",negative
SKX Q3 operational cash flow negative 60million. 80million decline vs.Q3 2011,negative
SKX 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,negative
"ed Weekly Triangle on SNSS,.....pdating  ",positive
BAC avrg 12.127 ,positive
First trade coming back from vacation. HOT short at 59.80. Stop at 60.30,negative
"Green Weekly Triangle on SCC,....pdating  ",negative
PODD breaking out to new 52wk highs from a decent base  ,positive
3 horsemen of high beta momo chase FS GMC NFX being slammed a bit here : advanced tell that the new year party is over for the mrkt ?,negative
PNA looks like a solid set up,positive
Names to buy on pullbacks GS CEG FB F,positive
BA for a flush down,negative
"Amazon Breaks 1,600 (adjusting for the splits)  via user AMZN",positive
"Financials XF have been driving this mkt higher, today they are weak-ish (except for JPM) for 1st time in while, little red flag 1...",negative
on our ive Broadcast we got this long signal on PCN and covered discount buy-in ! needs push  ,positive
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",positive
TWI at highs not seen since September  ,positive
"user won gold in our 2011 stock contest w V,  won silver in 2012 w TKC. Will his DDAIF call win in 2013?  ",positive
AMZN FB your pick for higher prices this week. Both breaking out with considerable volume.,positive
Eceryone wants a piece of PCN gorwth and magic...stakes are so high...innovation so fast and marketing stakes high  ,positive
"user scheplick It's easy to short AMZN - buy an iPad Mini, a tax prep book at Borders and some ackspace time.;-)",negative
Might open a position on S today. Cup and handle can make this one fly to 7-7.5 quickly.,positive
"CS, KOS positive.... nice reversal in KOS",positive
AXP trying to make a move too. Getting interesting.,positive
MA a strong follow thru day after breaking out to new highs last Friday - confirmation is solid  ,positive
"V new highs, looking for higher prices from here  ",positive
CEG a strong breakout to new highs today on 2x the daily avg. volume. ooks good for more upside  ,positive
WETF cheap financial stock that is trying to b/o. Would like to see a pullback/consolidation first  ,positive
"NFX shorts should be paranoid on every close as a buyout will come 1 night from aapl, msft, goog, amzn, etc.  dominate webtv long nflx",positive
"As in the last 3 sessions, last hour buyers are back, more money need to be put to work... money flows... SPY TT ES_F",positive
"user The stock isn't telling us anything new, but the trend is saying a lot. This E is AAP's most anticipated in years.",positive
All of the above: rax setting up again  spy,positive
PCN - long entry  ,positive
"Green Weekly Triangle on AMPE,....Sell Short at 4.15  ",negative
"Green Weekly & Monthly Triangle on FWS,....pdating to Monthly  ",negative
"user are you saying ZAGG will up another 23%, how?",negative
"Green Weekly & Monthly Triangle on PAB,....pdating  ",negative
744.96 IS A great level for a close on GOOG,positive
"AAP short-term outlook. 3 possible scenarios, 2 of them are bullish  ",positive
Barclays upside case for CSOD is a year end price target of 46.  Based on 8x cy'14 revenues and 10% upside to estimates. Quite achievable!,positive
CTXS (conservative swing) once again bouncing nicely off support (w/volume)  MCP (aggressive swing) however strong probability.,positive
user: AMZN it's time for this bird to fly south!  ,negative
"VVS Technicals are positive for a continued climb. SI, OBV and MACD all look good to me  ",positive
"AKX b/out 13.78, like the base action under spot & declining vol, ripe for pop  ",positive
"HAO b/out 7.20, price was rejected at 7.19 today, also high on 12/21  ",positive
"HWAY b/out 11.08, nice base under the spot  ",positive
yum down premarket through the cloud but has support at about 62.75   ,negative
"Multi-day downswing in ES_F favored, see demand zone at 1442.00-1423.75 SPX SPY #stocks.   ",negative
"MON - not making sales here - we will be buyers of weakness, looks like game on for a while...",positive
FIN 9mos Operational cash flow declines 15million vs. prior yr first 9mos.  198% decline,negative
AYI Q1 Operational Cash Flow turns Negative,negative
AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,negative
AYI 2013 Q1 operational Cash flow negative 14.5 million. decline of 41 million vs. Q1 2012.  152% decline,negative
my 526.20 bid not hit in aapl so i am expecting at least a move to 540 today :),positive
"MON 2013 Q1 operational cash flow 1.569 billion,  a 459 million increase vs 2012 Q1.  41% increase",positive
fio nothing but air under stock until 17.70-17.80  ,negative
"AAP daily fade in motion again, people that want to be out are still at work...",negative
I shorted NFX here with a 1.00 stop.,negative
CTIC got long,positive
Catch up user: Hot inks is totally off the hook this morning - so many great reads  AAP MACO,positive
IHS year end operational cash flow declined 27 million vs. 2011. an  8.19% decline,negative
Watch XF JPM BAC OD closely...,negative
unit cost at 1.60 this see a bounce CTIC,positive
with little whips on pops and drops don't go all in on one purchase avg in through out the day limit exposure and % of portfolio CTIC,positive
"SHD Get short, someone big must be exiting imo... Sitting on some 40 puts from this am!",negative
MON - added,positive
"If you'd like to gag on the New American Socialism, enjoy this video courtesy AIG:  ",negative
JNP - added,positive
X - added,positive
"user Mr. Florida, hope all is well.  You've trade SAVE in the past, so Im asking you.  Do you like it here?  ooking to fill gap?",positive
SHD ... why won't you die already? ampert doesn't know 2 sh*ts about running a retail. He bought Sears for the property... ,negative
"WN: ong  19.79. Trailing Stop  24.39 from 6 prior Stops of 23.76, 20.42, 19.79, 18.09, 17.13 and 16.39 -  ",positive
"DECK: Short  66.41. Trailing Stop  44.16 down from 5 prior Stops of 51.65, 59.07, 66.41, 74.13 & 81.85 -  ",negative
WFM - short back on,negative
"nice base building here 1.50 -1.54 on CTIC should test hod's in the afternoon, setting up nicely for follow thru tomorrow. #tradeoftheweek",positive
up to 16 million shares on CTIC almost 10x avg daily vol. I don't think this is a one day story. Gap up to 2.05 plenty of rm to run imho,positive
SHD Eddie ampert is a 1 trick pony...,negative
"et the angry, anecdotal comments begin: Why I still think BlackBerry & IM are doomed.  IMM AAP GOOG NOK T VZ",negative
user I think AAP putting in a long term bottom.....of course I could be wrong but that is what it looks like :-),positive
i had a price alert go off for WWW while off the desk.,negative
GG to be delisted soon typicall pump and dump same story over the last few months be careful one day trades over a mil next day ur stuck,negative
TSO option trader buys 10k of the Feb 40P for 1.60. A 1.6 million bet stock will be below 40 by Feb exp. Could be hedge too. OI is 544,negative
DDD SSY Stops honored.  So be it. Now.... must.not.become.bearshitter.,negative
CYBX keeps consolidating near all-time highs  ,positive
DDD The sentiment on this stock can change in a blink of an eye.  Not for the faint of heart.  Still long term bullish.,positive
MCP bottom at 11.00? Strong esistance. nder these level...short breakout Chance.,negative
AIG wins the awsuit then announces dividend reinstatement. :),positive
TIVO is a buyout coming? Sure seems strong of late?,positive
biggest mistake i made all day was not sticking to my gut on reversal in #SOAS #2 not sticking to my watchlist DK STP ANA KOG,positive
DDD looks an easy short,negative
My instincts are spot on in 2013 and still think CTIC will hit 2.05 this wk but still want to stick to my morning watchlist & not chase,positive
AX looks good for higher prices  ,positive
CM holding up well   ,positive
"ANA with the conference tomorrow, I guess we will hit 10.05 after all...",positive
"NFX - hearing PJCO out cautious following comScore data: Following Weak December, Overall 4Q Traffic Again Turns Negative user",negative
"se pullback 2 initiate quick trades, not invest, long. Keep stops tight & sell up.  AAP EGN OCN AMH DDD NSM",positive
"Piper Jaffray making negative comments on NFX and CST ed Box : comScore Q4 data weak for edbox, Netflix",negative
Maybe a good time to buy TD the 44 level appears to be holding as a key support level,positive
"CSN option trader buys 1,500 of the Jan 11-16 call spread against low OI indicating entering a position for .50. Bet on data bef. Jan 19",positive
AA there goes the kids college fund!,positive
X option trader takes profits in Feb26P selling 8k against 8k OI and rolling position to Feb 25P buying 8K at 1.48,negative
"Green Monthly Triangle on ACAD,....Net Profit  7,177.00 (11.49%)  ",positive
